GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,com.example.ekm.Assembler,PointAssembler,30,0,0,0,11,0,2,0,2,0
backend,com.example.ekm.Assembler,GameAssembler,22,0,0,0,8,0,2,0,2,0
backend,com.example.ekm.Assembler,GameUserAssembler,20,0,0,0,8,0,2,0,2,0
backend,com.example.ekm.Assembler,TrailAssembler,17,0,0,0,7,0,2,0,2,0
backend,com.example.ekm.Assembler,LanguageAssembler,26,0,0,0,10,0,2,0,2,0
backend,com.example.ekm.DTO,TrailInputDTO.TrailInputDTOBuilder,38,0,0,0,1,0,5,0,5,0
backend,com.example.ekm.DTO,TrailInputDTO,139,0,22,0,6,0,22,0,11,0
backend,com.example.ekm.DTO,GameOutputDTO,231,0,38,0,8,0,34,0,15,0
backend,com.example.ekm.DTO,GameOutputDTO.GameOutputDTOBuilder,62,0,0,0,1,0,7,0,7,0
backend,com.example.ekm.DTO,LanguageInputDTO.LanguageInputDTOBuilder,74,0,0,0,1,0,8,0,8,0
backend,com.example.ekm.DTO,GameUserInputDTO,185,0,30,0,7,0,28,0,13,0
backend,com.example.ekm.DTO,TrailOutputDTO,185,0,30,0,7,0,28,0,13,0
backend,com.example.ekm.DTO,TrailOutputDTO.TrailOutputDTOBuilder,50,0,0,0,1,0,6,0,6,0
backend,com.example.ekm.DTO,GameUserOutputDTO,231,0,38,0,8,0,34,0,15,0
backend,com.example.ekm.DTO,LanguageInputDTO,277,0,46,0,9,0,40,0,17,0
backend,com.example.ekm.DTO,PointOutputDTO,369,0,62,0,11,0,52,0,21,0
backend,com.example.ekm.DTO,LanguageOutputDTO,323,0,54,0,10,0,46,0,19,0
backend,com.example.ekm.DTO,PointInputDTO.PointInputDTOBuilder,86,0,0,0,1,0,9,0,9,0
backend,com.example.ekm.DTO,LanguageOutputDTO.LanguageOutputDTOBuilder,86,0,0,0,1,0,9,0,9,0
backend,com.example.ekm.DTO,PointInputDTO,323,0,54,0,10,0,46,0,19,0
backend,com.example.ekm.DTO,GameUserInputDTO.GameUserInputDTOBuilder,50,0,0,0,1,0,6,0,6,0
backend,com.example.ekm.DTO,GameUserOutputDTO.GameUserOutputDTOBuilder,62,0,0,0,1,0,7,0,7,0
backend,com.example.ekm.DTO,PointOutputDTO.PointOutputDTOBuilder,98,0,0,0,1,0,10,0,10,0
backend,com.example.ekm,EkmApplication,5,3,0,0,2,1,1,1,1,1
backend,com.example.ekm.Security,SpringSecurityWebAppConfig,150,0,0,0,18,0,3,0,3,0
backend,com.example.ekm.Security,SecurityConstants,3,0,0,0,1,0,1,0,1,0
backend,com.example.ekm.Security,JWTAuthenticationFilter,105,0,2,0,25,0,4,0,3,0
backend,com.example.ekm.Security,JWTAuthorizationFilter,85,0,10,0,26,0,8,0,3,0
backend,com.example.ekm.Security,SpringConfig,7,0,0,0,2,0,2,0,2,0
backend,com.example.ekm.Model,GameUser,263,10,46,0,5,3,36,3,13,3
backend,com.example.ekm.Model,Language,316,3,54,0,8,1,44,1,17,1
backend,com.example.ekm.Model,UserRole,0,34,0,0,0,2,0,1,0,1
backend,com.example.ekm.Model,Point,351,14,62,0,7,3,47,4,16,4
backend,com.example.ekm.Model,Trail,178,3,30,0,5,1,26,1,11,1
backend,com.example.ekm.Model,Game,252,21,46,0,4,4,33,6,10,6
backend,com.example.ekm.Controller,TrailController,107,0,0,0,17,0,11,0,11,0
backend,com.example.ekm.Controller,GameUserController,23,0,0,0,5,0,3,0,3,0
backend,com.example.ekm.Controller,LanguageController,83,0,0,0,20,0,4,0,4,0
backend,com.example.ekm.Controller,AdminController,85,0,0,0,22,0,4,0,4,0
backend,com.example.ekm.Controller,GameController,249,0,14,0,48,0,16,0,9,0
backend,com.example.ekm.Controller,UserController,56,0,0,0,16,0,4,0,4,0
backend,com.example.ekm.Controller,PointController,70,0,0,0,14,0,5,0,5,0
backend,com.example.ekm.Service,UserDetailsServiceImpl,27,0,2,0,7,0,3,0,2,0
backend,com.example.ekm.Exception,ErrorDetails,178,0,30,0,9,0,26,0,11,0
backend,com.example.ekm.Exception,CustomizedResponseExceptionHandler,60,0,0,0,10,0,4,0,4,0
